|  time  | address  | load |  in   |  out  |
| 120    |    19709 |    0 | 19649 |     0 |
| 120+   |    22963 |    0 | 19649 |     0 |
| 121    |    22963 |    0 | 19649 |     0 |
| 121+   |    14102 |    1 | 18042 |     0 |
| 122    |    14102 |    1 | 18042 | 18042 |
| 122+   |     5865 |    1 | 28284 |     0 |
| 123    |     5865 |    1 | 28284 | 28284 |
| 123+   |     9533 |    1 | 14926 |     0 |
| 124    |     9533 |    1 | 14926 | 14926 |
| 124+   |    22237 |    1 |  1734 |     0 |
| 125    |    22237 |    1 |  1734 |  1734 |
| 125+   |      214 |    0 |  1734 |     0 |
| 126    |      214 |    0 |  1734 |     0 |
| 126+   |     7544 |    1 | 19150 |     0 |
| 127    |     7544 |    1 | 19150 | 19150 |
| 127+   |       30 |    1 |   761 |     0 |
| 128    |       30 |    1 |   761 |   761 |
| 128+   |    27972 |    0 |   761 |     0 |
| 129    |    27972 |    0 |   761 |     0 |
| 129+   |      223 |    0 |   761 |     0 |
| 130    |      223 |    0 |   761 |     0 |
| 130+   |    16093 |    0 |   761 |     0 |
| 131    |    16093 |    0 |   761 |     0 |
| 131+   |     5195 |    0 |   761 |     0 |
| 132    |     5195 |    0 |   761 |     0 |
| 132+   |    17055 |    1 | 29994 |     0 |
| 133    |    17055 |    1 | 29994 | 29994 |
| 133+   |    10355 |    0 | 29994 |     0 |
| 134    |    10355 |    0 | 29994 |     0 |
| 134+   |    32381 |    0 | 29994 |     0 |
| 135    |    32381 |    0 | 29994 |     0 |
| 135+   |     4880 |    0 | 29994 |     0 |
| 136    |     4880 |    0 | 29994 |     0 |
| 136+   |    19331 |    0 | 29994 |     0 |
| 137    |    19331 |    0 | 29994 |     0 |
| 137+   |    31714 |    1 |  7238 |     0 |
| 138    |    31714 |    1 |  7238 |  7238 |
| 138+   |    21255 |    0 |  7238 |     0 |
| 139    |    21255 |    0 |  7238 |     0 |
| 139+   |     3308 |    1 | 13371 |     0 |
| 140    |     3308 |    1 | 13371 | 13371 |
| 140+   |    31467 |    1 | 16099 |     0 |
| 141    |    31467 |    1 | 16099 | 16099 |
| 141+   |     8551 |    1 |  4488 |     0 |
| 142    |     8551 |    1 |  4488 |  4488 |
| 142+   |    29492 |    1 | 22144 |     0 |
| 143    |    29492 |    1 | 22144 | 22144 |
| 143+   |     6012 |    1 | 32270 |     0 |
| 144    |     6012 |    1 | 32270 | 32270 |
| 144+   |    19619 |    0 | 32270 |     0 |
| 145    |    19619 |    0 | 32270 |     0 |
| 145+   |    16428 |    0 | 32270 |     0 |
