| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 97   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 98   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 99   |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 100  |      40 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 101  |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 102  |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 103  |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 104  |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 105  |      27 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 106  |      27 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 107  |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 108  |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 109  |      18 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 110  |      19 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 111  |      19 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 112  |      40 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 113  |      40 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 114  |      17 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 115  |      17 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
